technique,bpIds,cols,seed,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-string-base64,26,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-string-fasta,18,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-string-tagcloud,54,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-string-unpack-code,16,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.1,10,sunspider-string-validate-input,18,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-3d-cube,142,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-3d-morph,24,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-3d-raytrace,178,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-access-binary-trees,20,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-access-fannkuch,28,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-access-nbody,70,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-access-nsieve,18,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-bitops-3bit-bits-in-byte,16,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-bitops-bits-in-byte,12,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-bitops-bitwise-and,14,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-bitops-nsieve-bits,16,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-controlflow-recursive,12,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-crypto-aes,170,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-crypto-md5,116,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-crypto-sha1,90,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-date-format-tofte,120,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-date-format-xparb,168,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-math-cordic,42,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-math-partial-sums,18,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-math-spectral-norm,24,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-regexp-dna,688,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-string-base64,54,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-string-fasta,36,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-string-tagcloud,108,0,0.000000
