SunSpider,breakpoints/line,actions/line,stepIn,stepOver,stepOut,resume,sum # characters,# changed characters,# chars changed/sum
access-binary-trees,0.5,0.5,0.0,1.0,0.0,0.0,212,15,0.0708
access-binary-trees,0.5,0.5,0.0,1.0,0.0,1.0,244,24,0.0984
access-binary-trees,0.5,0.5,0.0,1.0,1.0,0.0,212,19,0.0896
access-binary-trees,0.5,0.5,0.0,1.0,1.0,1.0,236,24,0.1017
access-binary-trees,0.5,0.5,1.0,0.0,0.0,0.0,212,14,0.0660
access-binary-trees,0.5,0.5,1.0,0.0,0.0,1.0,244,22,0.0902
access-binary-trees,0.5,0.5,1.0,0.0,1.0,0.0,212,18,0.0849
access-binary-trees,0.5,0.5,1.0,0.0,1.0,1.0,236,23,0.0975
access-binary-trees,0.5,0.5,1.0,1.0,0.0,0.0,212,14,0.0660
access-binary-trees,0.5,0.5,1.0,1.0,0.0,1.0,236,15,0.0636
access-binary-trees,0.5,0.5,1.0,1.0,1.0,0.0,212,17,0.0802
access-binary-trees,0.5,0.5,1.0,1.0,1.0,1.0,232,25,0.1078
bitops-3bit-bits-in-byte,0.1,0.5,0.0,0.0,0.0,0.0,18,0,0.0000
bitops-3bit-bits-in-byte,0.1,0.5,0.0,0.0,0.0,1.0,162,0,0.0000
bitops-3bit-bits-in-byte,0.1,0.5,0.0,0.0,1.0,0.0,116,7,0.0603
bitops-3bit-bits-in-byte,0.1,0.5,0.0,0.0,1.0,1.0,144,3,0.0208
bitops-3bit-bits-in-byte,0.1,0.5,0.0,1.0,0.0,0.0,116,4,0.0345
bitops-3bit-bits-in-byte,0.1,0.5,0.0,1.0,0.0,1.0,144,3,0.0208
bitops-3bit-bits-in-byte,0.1,0.5,0.0,1.0,1.0,0.0,116,8,0.0690
bitops-3bit-bits-in-byte,0.1,0.5,0.0,1.0,1.0,1.0,136,4,0.0294
bitops-3bit-bits-in-byte,0.1,0.5,1.0,0.0,0.0,0.0,116,4,0.0345
bitops-3bit-bits-in-byte,0.1,0.5,1.0,0.0,0.0,1.0,144,14,0.0972
bitops-3bit-bits-in-byte,0.1,0.5,1.0,0.0,1.0,0.0,116,9,0.0776
