bpIds,cols,seed,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
true,true,0,1.0,10,crypto-md5,448,223,0.497768
true,true,0,1.0,10,crypto-sha1,308,153,0.496753
true,true,0,1.0,10,date-format-tofte,454,227,0.500000
true,true,0,1.0,10,date-format-xparb,604,292,0.483444
true,true,0,1.0,10,math-cordic,172,86,0.500000
true,true,0,1.0,10,math-partial-sums,76,38,0.500000
true,true,0,1.0,10,math-spectral-norm,82,41,0.500000
true,true,0,1.0,10,regexp-dna,3406,1686,0.495009
true,true,0,1.0,10,string-base64,218,109,0.500000
true,true,0,1.0,10,string-fasta,126,62,0.492063
true,true,0,1.0,10,string-tagcloud,436,215,0.493119
true,true,0,1.0,10,string-unpack-code,146,73,0.500000
true,true,0,1.0,10,string-validate-input,140,64,0.457143
