Browser,Transformation,SunSpider testcase,# diff lines/combination
firefox,hoist-vars,3d-cube,0.0
firefox,hoist-vars,3d-morph,0.1717171717171717
firefox,hoist-vars,3d-raytrace,0.0
firefox,hoist-vars,access-binary-trees,0.09696969696969697
firefox,hoist-vars,access-fannkuch,0.0
firefox,hoist-vars,access-nbody,0.02973977695167286
firefox,hoist-vars,access-nsieve,0.0
firefox,hoist-vars,bitops-3bit-bits-in-byte,0.08870967741935484
firefox,hoist-vars,bitops-bits-in-byte,0.05063291139240506
firefox,hoist-vars,bitops-bitwise-and,0.42857142857142855
firefox,hoist-vars,bitops-nsieve-bits,0.0
firefox,hoist-vars,controlflow-recursive,0.0
firefox,hoist-vars,crypto-aes,0.0
firefox,hoist-vars,crypto-md5,0.06790799561883899
firefox,hoist-vars,crypto-sha1,0.0311284046692607
firefox,hoist-vars,date-format-tofte,0.0031512605042016808
firefox,hoist-vars,date-format-xparb,0.21032649962034927
firefox,hoist-vars,math-cordic,0.0
firefox,hoist-vars,math-partial-sums,0.14814814814814814
firefox,hoist-vars,math-spectral-norm,0.0056179775280898875
firefox,hoist-vars,regexp-dna,0.2501756851721715
firefox,hoist-vars,string-base64,0.1066350710900474
firefox,hoist-vars,string-fasta,0.0036231884057971015
firefox,hoist-vars,string-tagcloud,0.6633064516129032
firefox,hoist-vars,string-unpack-code,0.01694915254237288
firefox,hoist-vars,string-validate-input,0.10996563573883161
firefox,mangle-esmangle,3d-cube,0.0
firefox,mangle-esmangle,3d-morph,0.0
firefox,mangle-esmangle,3d-raytrace,0.0
firefox,mangle-esmangle,access-binary-trees,0.0
firefox,mangle-esmangle,access-fannkuch,0.0
firefox,mangle-esmangle,access-nbody,0.0
firefox,mangle-esmangle,access-nsieve,0.0
firefox,mangle-esmangle,bitops-3bit-bits-in-byte,0.0
firefox,mangle-esmangle,bitops-bits-in-byte,0.0
firefox,mangle-esmangle,bitops-bitwise-and,0.0
firefox,mangle-esmangle,bitops-nsieve-bits,0.0
firefox,mangle-esmangle,controlflow-recursive,0.0
firefox,mangle-esmangle,crypto-aes,0.0
firefox,mangle-esmangle,crypto-md5,0.0
firefox,mangle-esmangle,crypto-sha1,0.0
firefox,mangle-esmangle,date-format-tofte,0.0
firefox,mangle-esmangle,date-format-xparb,0.0
firefox,mangle-esmangle,math-cordic,0.0
firefox,mangle-esmangle,math-partial-sums,0.0
firefox,mangle-esmangle,math-spectral-norm,0.0
firefox,mangle-esmangle,regexp-dna,0.0
firefox,mangle-esmangle,string-base64,0.0
firefox,mangle-esmangle,string-fasta,0.0
firefox,mangle-esmangle,string-tagcloud,0.0
firefox,mangle-esmangle,string-unpack-code,0.0
firefox,mangle-esmangle,string-validate-input,0.0
firefox,mangle-uglifyjs2,3d-cube,0.0
firefox,mangle-uglifyjs2,3d-morph,0.0
firefox,mangle-uglifyjs2,3d-raytrace,0.0
firefox,mangle-uglifyjs2,access-binary-trees,0.0
firefox,mangle-uglifyjs2,access-fannkuch,0.0
firefox,mangle-uglifyjs2,access-nbody,0.0
firefox,mangle-uglifyjs2,access-nsieve,0.0
firefox,mangle-uglifyjs2,bitops-3bit-bits-in-byte,0.0
firefox,mangle-uglifyjs2,bitops-bits-in-byte,0.0
